,industry_code,product_code,product_name,item
0,1133--,1133--,Logging,PCU1133--1133--
1,11331-,11331-,Logging,PCU11331-11331-
2,113310,113310,Logging,PCU113310113310
3,113310,113310M,Miscellaneous receipts,PCU113310113310M
4,113310,113310MM,Miscellaneous receipts,PCU113310113310MM
5,113310,113310P,Primary products,PCU113310113310P
6,211---,211---,Oil and gas extraction,PCU211---211---
7,2111--,2111--,Oil and gas extraction,PCU2111--2111--
8,211111,211111,Crude petroleum and natural gas extraction,PCU211111211111
9,211111,2111111,Crude petroleum,PCU2111112111111
10,211111,2111113,Natural gas (from the wellhead),PCU2111112111113
11,211111,211111P,Primary products,PCU211111211111P
12,211111,211111S,Secondary products,PCU211111211111S
13,211112,211112,Natural gas liquids extraction,PCU211112211112
14,211112,2111121,Natural gas liquids,PCU2111122111121
15,211112,21111211,Isopentane and natural gasoline,PCU21111221111211
16,211112,21111212,Propane,PCU21111221111212
17,211112,21111213,Butane,PCU21111221111213
18,211112,21111214,"Plant condensate, ethane, gas mixtures, and other natural gas liquids",PCU21111221111214
19,211112,2111123,Residue gas shipped from natural gas liquids plants,PCU2111122111123
20,211112,211112P,Primary products,PCU211112211112P
21,212---,212---,Mining (except oil & gas),PCU212---212---
22,2121--,2121--,Coal mining,PCU2121--2121--
23,21211-,21211-,Coal mining,PCU21211-21211-
24,212111,212111,Bituminous coal and lignite surface mining,PCU212111212111
25,212111,2121111,Raw bituminous coal and lignite from surface mining operations,PCU2121112121111
26,212111,21211111,"Raw bituminous coal and lignite from surface operations, for use without processing",PCU21211121211111
27,212111,21211112,"Raw bituminous coal and lignite from surface operations, for processing at other establishments",PCU21211121211112
28,212111,2121113,Processed bituminous coal and lignite from surface operations,PCU2121112121113
29,212111,21211131,Processed bituminous coal and lignite from surface operations (wet-washing or other method),PCU21211121211131
30,212111,21211135,"Processed bituminous coal and lignite (mechanically crushed, screened, or sized only)",PCU21211121211135
31,212111,212111P,Primary products,PCU212111212111P
32,212112,212112,Bituminous coal underground mining,PCU212112212112
33,212112,2121121,Raw bituminous coal shipped from underground mining operations,PCU2121122121121
34,212112,2121123,Processed bituminous coal shipped from underground operations,PCU2121122121123
35,212112,21211231,"Processed bituminous coal washed by wet-washing, pneumatic, or other methods",PCU21211221211231
36,212112,21211232,"Processed bituminous coal mechanically crushed, screened, or sized only",PCU21211221211232
37,212112,212112P,Primary products,PCU212112212112P
38,212112,212112S,Secondary products,PCU212112212112S
39,212113,212113,Anthracite mining,PCU212113212113
40,212113,2121131,Run-of-mine (raw) anthracite,PCU2121132121131
41,212113,2121133,Processed anthracite,PCU2121132121133
42,212113,212113P,Primary products,PCU212113212113P
43,2122--,2122--,Metal ore mining,PCU2122--2122--
44,21221-,21221-,Iron ore mining,PCU21221-21221-
45,212210,212210,Iron ore mining,PCU212210212210
46,212210,2122100,"Iron ore (including crude, concentrates, agglomerates and pellates)",PCU2122102122100
47,212210,212210P,Primary products,PCU212210212210P
48,21222-,21222-,Gold ore & silver ore mining,PCU21222-21222-
49,212221,212221,Gold ore mining,PCU212221212221
50,212221,2122210,Gold ores,PCU2122212122210
51,212221,212221P,Primary products,PCU212221212221P
52,21223-,21223-,"Copper, nickel, lead & zinc mining",PCU21223-21223-
53,212230,212230,"Copper, nickel, lead  and zinc  mining",PCU212230212230
54,212230,2122301,Lead ore and zinc ore,PCU2122302122301
55,212230,2122304,Copper ore and nickel ore,PCU2122302122304
56,212230,212230P,Primary products,PCU212230212230P
57,21229-,21229-,Other metal ore mining,PCU21229-21229-
58,212290,212290,Other metal ore mining,PCU212290212290
59,212290,2122901,"Other metal ores, including uranium",PCU2122902122901
