Date,Rate
3-Jan-00,31.3800
4-Jan-00,30.6000
5-Jan-00,30.8000
6-Jan-00,31.7500
7-Jan-00,30.8500
10-Jan-00,30.8300
11-Jan-00,30.8300
12-Jan-00,30.8000
13-Jan-00,30.8000
14-Jan-00,30.8300
17-Jan-00,ND
18-Jan-00,30.8900
19-Jan-00,30.8500
20-Jan-00,30.8500
21-Jan-00,30.8500
24-Jan-00,30.8500
25-Jan-00,30.8500
26-Jan-00,30.8500
27-Jan-00,30.8300
28-Jan-00,30.7500
31-Jan-00,30.7500
1-Feb-00,31.7500
2-Feb-00,30.8000
3-Feb-00,30.8000
4-Feb-00,30.8000
7-Feb-00,30.8000
8-Feb-00,30.7500
9-Feb-00,30.6500
10-Feb-00,30.6500
11-Feb-00,30.6300
14-Feb-00,30.7200
15-Feb-00,30.7500
16-Feb-00,30.7200
17-Feb-00,30.7200
18-Feb-00,30.7650
21-Feb-00,ND
22-Feb-00,30.8000
23-Feb-00,30.8000
24-Feb-00,30.8500
25-Feb-00,30.8000
28-Feb-00,30.8000
29-Feb-00,30.7600
1-Mar-00,30.7500
2-Mar-00,30.7500
3-Mar-00,30.7500
6-Mar-00,30.8000
7-Mar-00,30.7500
8-Mar-00,30.7600
9-Mar-00,30.7500
10-Mar-00,30.7500
13-Mar-00,30.7500
14-Mar-00,30.7400
15-Mar-00,30.7500
16-Mar-00,30.8150
17-Mar-00,30.7400
20-Mar-00,30.7500
21-Mar-00,30.7800
22-Mar-00,30.7500
23-Mar-00,30.7500
24-Mar-00,30.7000
27-Mar-00,30.6500
28-Mar-00,30.6400
29-Mar-00,30.6000
30-Mar-00,30.6000
31-Mar-00,30.4800
3-Apr-00,30.5000
4-Apr-00,30.4500
5-Apr-00,30.5000
6-Apr-00,30.4800
7-Apr-00,30.5000
10-Apr-00,30.3500
11-Apr-00,30.3500
12-Apr-00,30.3500
13-Apr-00,30.3500
14-Apr-00,30.4500
17-Apr-00,30.5500
18-Apr-00,30.6000
19-Apr-00,30.6200
20-Apr-00,30.5500
21-Apr-00,30.5850
24-Apr-00,30.6000
25-Apr-00,30.6500
26-Apr-00,30.6500
27-Apr-00,30.6500
28-Apr-00,30.6700
1-May-00,30.6500
2-May-00,30.6800
3-May-00,30.7500
4-May-00,30.7200
5-May-00,30.6800
8-May-00,30.7000
9-May-00,30.6500
10-May-00,30.7300
11-May-00,30.7600
12-May-00,30.7500
15-May-00,30.8300
16-May-00,30.8400
17-May-00,30.7500
18-May-00,30.8200
19-May-00,30.7900
22-May-00,30.7500
23-May-00,30.8000
24-May-00,30.8200
25-May-00,30.8500
26-May-00,30.8500
29-May-00,ND
30-May-00,30.9600
31-May-00,30.8500
1-Jun-00,30.9000
2-Jun-00,30.8500
5-Jun-00,30.8300
6-Jun-00,30.8300
7-Jun-00,30.8000
8-Jun-00,30.8000
9-Jun-00,30.8000
12-Jun-00,30.8000
13-Jun-00,30.8000
14-Jun-00,30.8000
15-Jun-00,30.8500
16-Jun-00,30.9000
19-Jun-00,30.9000
20-Jun-00,30.9000
21-Jun-00,30.8300
22-Jun-00,30.8000
23-Jun-00,30.8000
26-Jun-00,30.8100
27-Jun-00,30.8200
28-Jun-00,30.8200
29-Jun-00,30.8300
30-Jun-00,30.8000
3-Jul-00,30.8300
4-Jul-00,ND
5-Jul-00,30.8500
6-Jul-00,30.8800
7-Jul-00,30.8800
10-Jul-00,30.9000
11-Jul-00,30.9000
12-Jul-00,30.9000
13-Jul-00,30.9000
14-Jul-00,30.9000
17-Jul-00,30.9600
18-Jul-00,31.0000
19-Jul-00,31.0800
20-Jul-00,31.1300
21-Jul-00,31.0800
24-Jul-00,31.0950
25-Jul-00,31.1000
26-Jul-00,31.0800
27-Jul-00,31.0800
28-Jul-00,31.0700
31-Jul-00,31.0600
1-Aug-00,31.1500
2-Aug-00,31.1000
3-Aug-00,31.1500
4-Aug-00,31.1200
7-Aug-00,31.1500
8-Aug-00,31.1000
9-Aug-00,31.1000
10-Aug-00,31.1000
11-Aug-00,31.1100
14-Aug-00,31.1000
15-Aug-00,31.1300
16-Aug-00,31.1300
17-Aug-00,31.1000
18-Aug-00,31.1100
21-Aug-00,31.1000
22-Aug-00,31.0800
23-Aug-00,31.0800
24-Aug-00,31.0700
25-Aug-00,31.1000
28-Aug-00,31.0800
29-Aug-00,31.0900
30-Aug-00,31.0900
31-Aug-00,31.1000
1-Sep-00,31.1000
4-Sep-00,ND
5-Sep-00,31.0800
6-Sep-00,31.1000
7-Sep-00,31.1000
8-Sep-00,31.1000
11-Sep-00,31.1200
12-Sep-00,31.1100
13-Sep-00,31.1200
14-Sep-00,31.1300
15-Sep-00,31.1700
18-Sep-00,31.2900
19-Sep-00,31.2800
20-Sep-00,31.2900
21-Sep-00,31.2800
22-Sep-00,31.2100
25-Sep-00,31.2900
26-Sep-00,31.2800
27-Sep-00,31.2900
28-Sep-00,31.2900
29-Sep-00,31.3240
2-Oct-00,31.2900
3-Oct-00,31.3200
4-Oct-00,31.3000
5-Oct-00,31.3000
6-Oct-00,31.3100
9-Oct-00,ND
10-Oct-00,31.3100
11-Oct-00,31.3300
12-Oct-00,31.3000
13-Oct-00,31.6000
16-Oct-00,32.0500
17-Oct-00,32.3000
18-Oct-00,32.5000
19-Oct-00,32.3500
20-Oct-00,32.1500
23-Oct-00,32.1000
24-Oct-00,32.0500
25-Oct-00,32.0500
26-Oct-00,32.1900
27-Oct-00,32.2600
30-Oct-00,32.3500
31-Oct-00,32.3500
1-Nov-00,32.3600
2-Nov-00,32.2500
3-Nov-00,32.1500
6-Nov-00,32.1500
7-Nov-00,32.1500
8-Nov-00,32.1300
9-Nov-00,32.1000
10-Nov-00,32.0700
13-Nov-00,32.1700
14-Nov-00,32.1800
15-Nov-00,32.1500
16-Nov-00,32.2400
17-Nov-00,32.3100
20-Nov-00,32.4800
21-Nov-00,32.5000
22-Nov-00,32.9000
23-Nov-00,ND
24-Nov-00,32.9000
27-Nov-00,32.9000
28-Nov-00,32.8500
29-Nov-00,33.0800
30-Nov-00,33.0800
1-Dec-00,33.0500
4-Dec-00,33.0500
5-Dec-00,33.0500
6-Dec-00,33.0500
7-Dec-00,33.0800
8-Dec-00,33.0600
11-Dec-00,33.1000
12-Dec-00,33.0600
13-Dec-00,33.1600
14-Dec-00,33.1000
15-Dec-00,33.1000
18-Dec-00,33.1000
19-Dec-00,33.1000
20-Dec-00,33.1800
21-Dec-00,33.2000
22-Dec-00,33.2000
25-Dec-00,ND
26-Dec-00,33.2000
27-Dec-00,33.2500
28-Dec-00,33.2000
29-Dec-00,33.1700
1-Jan-01,ND
2-Jan-01,33.0000
3-Jan-01,33.0780
4-Jan-01,33.0000
5-Jan-01,32.9270
8-Jan-01,32.8500
9-Jan-01,32.6300
10-Jan-01,32.6500
11-Jan-01,32.6700
12-Jan-01,32.6700
15-Jan-01,ND
16-Jan-01,32.6450
17-Jan-01,32.6700
18-Jan-01,32.6700
19-Jan-01,32.6100
22-Jan-01,32.5900
23-Jan-01,32.6000
24-Jan-01,32.6000
25-Jan-01,32.5750
26-Jan-01,32.5750
29-Jan-01,32.5450
30-Jan-01,32.2300
31-Jan-01,32.3500
1-Feb-01,32.3900
2-Feb-01,32.3000
5-Feb-01,32.3300
6-Feb-01,32.2700
7-Feb-01,32.2700
8-Feb-01,32.2700
9-Feb-01,32.2700
12-Feb-01,32.2900
13-Feb-01,32.3500
14-Feb-01,32.3200
15-Feb-01,32.3100
16-Feb-01,32.3200
19-Feb-01,ND
20-Feb-01,32.3000
21-Feb-01,32.3000
22-Feb-01,32.3800
23-Feb-01,32.4000
26-Feb-01,32.4000
27-Feb-01,32.4000
28-Feb-01,32.4000
1-Mar-01,32.3800
2-Mar-01,32.4000
5-Mar-01,32.4000
6-Mar-01,32.4000
7-Mar-01,32.4200
8-Mar-01,32.4200
9-Mar-01,32.4500
12-Mar-01,32.4800
13-Mar-01,32.5700
14-Mar-01,32.5300
15-Mar-01,32.6100
16-Mar-01,32.7300
19-Mar-01,32.8000
20-Mar-01,32.7850
21-Mar-01,32.8200
22-Mar-01,32.9200
23-Mar-01,32.8500
26-Mar-01,32.7200
27-Mar-01,32.6700
28-Mar-01,32.6700
29-Mar-01,32.8000
30-Mar-01,32.8500
2-Apr-01,32.9700
3-Apr-01,32.8900
4-Apr-01,33.0000
5-Apr-01,32.9000
6-Apr-01,32.9000
9-Apr-01,33.0000
10-Apr-01,32.9900
11-Apr-01,32.9700
12-Apr-01,32.9200
13-Apr-01,32.9700
16-Apr-01,32.9500
17-Apr-01,32.9700
18-Apr-01,32.9700
19-Apr-01,32.8500
20-Apr-01,32.9100
23-Apr-01,32.9400
24-Apr-01,32.9200
25-Apr-01,32.9300
26-Apr-01,32.8900
27-Apr-01,32.9700
30-Apr-01,32.9400
1-May-01,32.9500
2-May-01,32.9000
3-May-01,32.8900
4-May-01,32.9100
7-May-01,32.9000
8-May-01,32.9100
9-May-01,32.9100
10-May-01,32.9200
11-May-01,32.9200
14-May-01,32.8900
15-May-01,32.9500
16-May-01,33.0000
17-May-01,33.0000
18-May-01,32.9800
21-May-01,33.4500
22-May-01,33.4700
23-May-01,33.4500
24-May-01,33.5000
25-May-01,33.5500
28-May-01,ND
29-May-01,34.0500
30-May-01,34.0200
31-May-01,33.9500
1-Jun-01,34.1000
4-Jun-01,34.1000
5-Jun-01,34.0800
6-Jun-01,34.1000
7-Jun-01,34.1000
8-Jun-01,34.1000
11-Jun-01,34.1000
12-Jun-01,34.1000
13-Jun-01,34.4300
14-Jun-01,34.4180
15-Jun-01,34.4800
18-Jun-01,34.4800
19-Jun-01,34.4800
20-Jun-01,34.4800
21-Jun-01,34.4500
22-Jun-01,34.5000
25-Jun-01,34.4500
26-Jun-01,34.4400
27-Jun-01,34.5000
28-Jun-01,34.5200
29-Jun-01,34.4800
2-Jul-01,34.4700
3-Jul-01,34.4500
4-Jul-01,ND
5-Jul-01,34.5100
6-Jul-01,34.5200
9-Jul-01,34.6000
10-Jul-01,34.7000
11-Jul-01,35.0300
12-Jul-01,35.0000
13-Jul-01,35.0200
16-Jul-01,35.0000
17-Jul-01,35.0500
18-Jul-01,35.0000
19-Jul-01,35.0200
20-Jul-01,35.0000
23-Jul-01,34.9500
24-Jul-01,34.9500
25-Jul-01,34.8700
26-Jul-01,34.7700
27-Jul-01,34.7700
30-Jul-01,34.7700
31-Jul-01,34.8000
1-Aug-01,34.7700
2-Aug-01,34.5600
3-Aug-01,34.6500
6-Aug-01,34.6700
7-Aug-01,34.7000
8-Aug-01,34.6500
9-Aug-01,34.7000
10-Aug-01,34.6700
13-Aug-01,34.6500
14-Aug-01,34.6000
15-Aug-01,34.6000
16-Aug-01,34.6000
17-Aug-01,34.6000
20-Aug-01,34.6500
21-Aug-01,34.6200
22-Aug-01,34.6500
23-Aug-01,34.6700
24-Aug-01,34.6700
27-Aug-01,34.6400
28-Aug-01,34.6400
29-Aug-01,34.5600
30-Aug-01,34.6000
31-Aug-01,34.5800
3-Sep-01,ND
4-Sep-01,34.5800
5-Sep-01,34.6200
6-Sep-01,34.6500
7-Sep-01,34.7000
10-Sep-01,34.7000
11-Sep-01,ND
12-Sep-01,34.5800
13-Sep-01,34.5440
14-Sep-01,34.5700
17-Sep-01,34.5620
18-Sep-01,34.5200
19-Sep-01,34.4900
20-Sep-01,34.6100
21-Sep-01,34.6100
24-Sep-01,34.5600
25-Sep-01,34.6200
26-Sep-01,34.5000
27-Sep-01,34.5500
28-Sep-01,34.5600
1-Oct-01,34.6000
2-Oct-01,34.6200
3-Oct-01,34.6100
4-Oct-01,34.6100
5-Oct-01,34.6000
8-Oct-01,ND
9-Oct-01,34.6000
10-Oct-01,34.6000
11-Oct-01,34.6000
12-Oct-01,34.5300
15-Oct-01,34.5800
16-Oct-01,34.5800
17-Oct-01,34.5800
18-Oct-01,34.5800
19-Oct-01,34.5800
22-Oct-01,34.5800
23-Oct-01,34.5800
24-Oct-01,34.5800
25-Oct-01,34.5900
26-Oct-01,34.5700
29-Oct-01,34.5500
30-Oct-01,34.5500
31-Oct-01,34.5500
1-Nov-01,34.5500
2-Nov-01,34.5500
5-Nov-01,34.5500
6-Nov-01,34.5500
7-Nov-01,34.5500
8-Nov-01,34.5000
9-Nov-01,34.5000
12-Nov-01,ND
13-Nov-01,34.5000
14-Nov-01,34.4800
15-Nov-01,34.5000
16-Nov-01,34.5000
19-Nov-01,34.5000
20-Nov-01,34.5000
21-Nov-01,34.4700
22-Nov-01,ND
23-Nov-01,34.4700
26-Nov-01,34.4700
27-Nov-01,34.4600
28-Nov-01,34.4400
29-Nov-01,34.4400
30-Nov-01,34.4700
3-Dec-01,34.4600
4-Dec-01,34.4600
5-Dec-01,34.4600
6-Dec-01,34.4600
7-Dec-01,34.4600
10-Dec-01,34.4800
11-Dec-01,34.4600
12-Dec-01,34.4600
13-Dec-01,34.4600
14-Dec-01,34.5000
17-Dec-01,34.5800
18-Dec-01,34.7100
19-Dec-01,34.7300
20-Dec-01,34.7600
21-Dec-01,34.9200
24-Dec-01,34.9700
25-Dec-01,ND
26-Dec-01,35.1000
27-Dec-01,35.1300
28-Dec-01,35.0800
31-Dec-01,35.0000
1-Jan-02,ND
2-Jan-02,35.0400
3-Jan-02,35.0300
4-Jan-02,35.0000
7-Jan-02,34.9400
8-Jan-02,35.0400
9-Jan-02,35.0500
10-Jan-02,35.0300
11-Jan-02,35.0500
14-Jan-02,35.0300
15-Jan-02,35.0000
16-Jan-02,35.0000
17-Jan-02,35.0300
18-Jan-02,35.0300
21-Jan-02,ND
22-Jan-02,35.0800
23-Jan-02,35.0800
24-Jan-02,35.0800
25-Jan-02,35.0600
28-Jan-02,35.0200
29-Jan-02,35.0000
30-Jan-02,34.9900
31-Jan-02,34.9900
1-Feb-02,35.0000
4-Feb-02,35.0500
5-Feb-02,34.9900
6-Feb-02,35.0200
7-Feb-02,35.0300
8-Feb-02,35.0800
11-Feb-02,35.0800
12-Feb-02,35.0800
13-Feb-02,35.0800
14-Feb-02,35.0800
15-Feb-02,35.1000
18-Feb-02,ND
19-Feb-02,35.1000
20-Feb-02,35.1000
21-Feb-02,35.1000
22-Feb-02,35.1000
25-Feb-02,35.0900
26-Feb-02,35.0900
27-Feb-02,35.1100
28-Feb-02,35.1100
1-Mar-02,35.1000
4-Mar-02,35.0900
5-Mar-02,35.0700
6-Mar-02,35.0300
7-Mar-02,34.9900
8-Mar-02,34.9500
11-Mar-02,34.9500
12-Mar-02,34.9500
13-Mar-02,34.9800
14-Mar-02,34.9800
15-Mar-02,34.9900
18-Mar-02,35.0300
19-Mar-02,35.0500
20-Mar-02,35.0500
