series_id,year,period,value,footnote_codes
Mining (except oil & gas),2003,M12,100.0,
Mining (except oil & gas),2004,M01,103.3,
Mining (except oil & gas),2004,M02,105.2,
Mining (except oil & gas),2004,M03,105.9,
Mining (except oil & gas),2004,M04,108.5,
Mining (except oil & gas),2004,M05,107.3,
Mining (except oil & gas),2004,M06,108.1,
Mining (except oil & gas),2004,M07,110.2,
Mining (except oil & gas),2004,M08,110.4,
Mining (except oil & gas),2004,M09,112.3,
Mining (except oil & gas),2004,M10,112.8,
Mining (except oil & gas),2004,M11,114.0,
Mining (except oil & gas),2004,M12,116.4,
Mining (except oil & gas),2004,M13,109.5,
Mining (except oil & gas),2005,M01,120.2,
Mining (except oil & gas),2005,M02,121.0,
Mining (except oil & gas),2005,M03,123.8,
Mining (except oil & gas),2005,M04,124.0,
Mining (except oil & gas),2005,M05,124.6,
Mining (except oil & gas),2005,M06,127.0,
Mining (except oil & gas),2005,M07,127.2,
Mining (except oil & gas),2005,M08,127.6,
Mining (except oil & gas),2005,M09,128.8,
Mining (except oil & gas),2005,M10,130.4,
Mining (except oil & gas),2005,M11,131.8,
Mining (except oil & gas),2005,M12,132.5,
Mining (except oil & gas),2005,M13,126.6,
Mining (except oil & gas),2006,M01,136.8,
Mining (except oil & gas),2006,M02,137.4,
Mining (except oil & gas),2006,M03,140.0,
Mining (except oil & gas),2006,M04,146.1,
Mining (except oil & gas),2006,M05,154.8,
Mining (except oil & gas),2006,M06,150.3,
Mining (except oil & gas),2006,M07,154.0,
Mining (except oil & gas),2006,M08,151.8,
Mining (except oil & gas),2006,M09,152.9,
Mining (except oil & gas),2006,M10,150.8,
Mining (except oil & gas),2006,M11,149.3,
Mining (except oil & gas),2006,M12,150.7,
Mining (except oil & gas),2006,M13,147.9,
Mining (except oil & gas),2007,M01,149.1,
Mining (except oil & gas),2007,M02,150.8,
Mining (except oil & gas),2007,M03,153.7,
Mining (except oil & gas),2007,M04,158.2,
Mining (except oil & gas),2007,M05,159.1,
Mining (except oil & gas),2007,M06,159.3,
Mining (except oil & gas),2007,M07,162.4,
Mining (except oil & gas),2007,M08,160.8,
Mining (except oil & gas),2007,M09,162.2,
Mining (except oil & gas),2007,M10,162.4,
Mining (except oil & gas),2007,M11,161.3,
Mining (except oil & gas),2007,M12,161.2,
Mining (except oil & gas),2007,M13,158.4,
Mining (except oil & gas),2008,M01,164.9,
Mining (except oil & gas),2008,M02,170.3,
Mining (except oil & gas),2008,M03,174.8,
Mining (except oil & gas),2008,M04,186.1,
Mining (except oil & gas),2008,M05,184.7,
Mining (except oil & gas),2008,M06,185.8,
Mining (except oil & gas),2008,M07,191.8,
Mining (except oil & gas),2008,M08,190.4,
