REF_DATE,North American Product Classification System (NAPCS),VALUE,"Total, Industrial product price index (IPPI)",Energy and petroleum products,Natural gas liquids and related products,"Solid fuel products, not elsewhere classified"
1956-01,,,15.6,,,
1956-02,,,15.6,,,
1956-03,,,15.7,,,
1956-04,,,15.7,,,
1956-05,,,15.8,,,
1956-06,,,15.9,,,
1956-07,,,15.8,,,
1956-08,,,15.9,,,
1956-09,,,15.9,,,
1956-10,,,15.9,,,
1956-11,,,16.0,,,
1956-12,,,16.0,,,
1957-01,,,16.1,,,
1957-02,,,16.1,,,
1957-03,,,16.1,,,
1957-04,,,16.2,,,
1957-05,,,16.2,,,
1957-06,,,16.2,,,
1957-07,,,16.2,,,
1957-08,,,16.1,,,
1957-09,,,16.1,,,
1957-10,,,16.1,,,
1957-11,,,16.1,,,
1957-12,,,16.1,,,
1958-01,,,16.1,,,
1958-02,,,16.2,,,
1958-03,,,16.2,,,
1958-04,,,16.1,,,
1958-05,,,16.2,,,
1958-06,,,16.2,,,
1958-07,,,16.1,,,
1958-08,,,16.1,,,
1958-09,,,16.2,,,
1958-10,,,16.2,,,
1958-11,,,16.3,,,
1958-12,,,16.3,,,
1959-01,,,16.3,,,
1959-02,,,16.3,,,
1959-03,,,16.3,,,
1959-04,,,16.3,,,
1959-05,,,16.3,,,
1959-06,,,16.3,,,
1959-07,,,16.3,,,
1959-08,,,16.3,,,
1959-09,,,16.4,,,
1959-10,,,16.3,,,
1959-11,,,16.3,,,
1959-12,,,16.3,,,
1960-01,,,16.4,,,
1960-02,,,16.3,,,
1960-03,,,16.3,,,
1960-04,,,16.4,,,
1960-05,,,16.3,,,
1960-06,,,16.4,,,
1960-07,,,16.4,,,
1960-08,,,16.4,,,
1960-09,,,16.4,,,
1960-10,,,16.4,,,
1960-11,,,16.3,,,
1960-12,,,16.4,,,
1961-01,,,16.4,,,
1961-02,,,16.4,,,
1961-03,,,16.3,,,
1961-04,,,16.4,,,
1961-05,,,16.3,,,
