Date,USD_NTD
3-Jan-00,31.38
4-Jan-00,30.6
5-Jan-00,30.8
6-Jan-00,31.75
7-Jan-00,30.85
10-Jan-00,30.83
11-Jan-00,30.83
12-Jan-00,30.8
13-Jan-00,30.8
14-Jan-00,30.83
17-Jan-00,0.0
18-Jan-00,30.89
19-Jan-00,30.85
20-Jan-00,30.85
21-Jan-00,30.85
24-Jan-00,30.85
25-Jan-00,30.85
26-Jan-00,30.85
27-Jan-00,30.83
28-Jan-00,30.75
31-Jan-00,30.75
1-Feb-00,31.75
2-Feb-00,30.8
3-Feb-00,30.8
4-Feb-00,30.8
7-Feb-00,30.8
8-Feb-00,30.75
9-Feb-00,30.65
10-Feb-00,30.65
11-Feb-00,30.63
14-Feb-00,30.72
15-Feb-00,30.75
16-Feb-00,30.72
17-Feb-00,30.72
18-Feb-00,30.765
21-Feb-00,0.0
22-Feb-00,30.8
23-Feb-00,30.8
24-Feb-00,30.85
25-Feb-00,30.8
28-Feb-00,30.8
29-Feb-00,30.76
1-Mar-00,30.75
2-Mar-00,30.75
3-Mar-00,30.75
6-Mar-00,30.8
7-Mar-00,30.75
8-Mar-00,30.76
9-Mar-00,30.75
10-Mar-00,30.75
13-Mar-00,30.75
14-Mar-00,30.74
15-Mar-00,30.75
16-Mar-00,30.815
17-Mar-00,30.74
20-Mar-00,30.75
21-Mar-00,30.78
22-Mar-00,30.75
23-Mar-00,30.75
24-Mar-00,30.7
27-Mar-00,30.65
28-Mar-00,30.64
29-Mar-00,30.6
30-Mar-00,30.6
31-Mar-00,30.48
3-Apr-00,30.5
4-Apr-00,30.45
5-Apr-00,30.5
6-Apr-00,30.48
7-Apr-00,30.5
10-Apr-00,30.35
11-Apr-00,30.35
12-Apr-00,30.35
13-Apr-00,30.35
14-Apr-00,30.45
17-Apr-00,30.55
18-Apr-00,30.6
19-Apr-00,30.62
20-Apr-00,30.55
21-Apr-00,30.585
24-Apr-00,30.6
25-Apr-00,30.65
26-Apr-00,30.65
27-Apr-00,30.65
28-Apr-00,30.67
1-May-00,30.65
2-May-00,30.68
3-May-00,30.75
4-May-00,30.72
5-May-00,30.68
8-May-00,30.7
9-May-00,30.65
10-May-00,30.73
11-May-00,30.76
12-May-00,30.75
15-May-00,30.83
16-May-00,30.84
17-May-00,30.75
18-May-00,30.82
19-May-00,30.79
22-May-00,30.75
23-May-00,30.8
24-May-00,30.82
25-May-00,30.85
26-May-00,30.85
29-May-00,0.0
30-May-00,30.96
31-May-00,30.85
1-Jun-00,30.9
2-Jun-00,30.85
5-Jun-00,30.83
6-Jun-00,30.83
7-Jun-00,30.8
8-Jun-00,30.8
9-Jun-00,30.8
12-Jun-00,30.8
13-Jun-00,30.8
14-Jun-00,30.8
15-Jun-00,30.85
16-Jun-00,30.9
19-Jun-00,30.9
20-Jun-00,30.9
21-Jun-00,30.83
22-Jun-00,30.8
23-Jun-00,30.8
26-Jun-00,30.81
27-Jun-00,30.82
28-Jun-00,30.82
29-Jun-00,30.83
30-Jun-00,30.8
3-Jul-00,30.83
4-Jul-00,0.0
5-Jul-00,30.85
6-Jul-00,30.88
7-Jul-00,30.88
10-Jul-00,30.9
11-Jul-00,30.9
12-Jul-00,30.9
13-Jul-00,30.9
14-Jul-00,30.9
17-Jul-00,30.96
18-Jul-00,31.0
19-Jul-00,31.08
20-Jul-00,31.13
21-Jul-00,31.08
24-Jul-00,31.095
25-Jul-00,31.1
26-Jul-00,31.08
27-Jul-00,31.08
28-Jul-00,31.07
31-Jul-00,31.06
1-Aug-00,31.15
2-Aug-00,31.1
3-Aug-00,31.15
4-Aug-00,31.12
7-Aug-00,31.15
8-Aug-00,31.1
9-Aug-00,31.1
10-Aug-00,31.1
11-Aug-00,31.11
14-Aug-00,31.1
15-Aug-00,31.13
16-Aug-00,31.13
17-Aug-00,31.1
18-Aug-00,31.11
21-Aug-00,31.1
22-Aug-00,31.08
23-Aug-00,31.08
24-Aug-00,31.07
25-Aug-00,31.1
28-Aug-00,31.08
29-Aug-00,31.09
30-Aug-00,31.09
31-Aug-00,31.1
1-Sep-00,31.1
4-Sep-00,0.0
5-Sep-00,31.08
6-Sep-00,31.1
7-Sep-00,31.1
8-Sep-00,31.1
11-Sep-00,31.12
12-Sep-00,31.11
13-Sep-00,31.12
14-Sep-00,31.13
15-Sep-00,31.17
18-Sep-00,31.29
19-Sep-00,31.28
20-Sep-00,31.29
21-Sep-00,31.28
22-Sep-00,31.21
25-Sep-00,31.29
26-Sep-00,31.28
27-Sep-00,31.29
28-Sep-00,31.29
29-Sep-00,31.324
2-Oct-00,31.29
3-Oct-00,31.32
4-Oct-00,31.3
5-Oct-00,31.3
6-Oct-00,31.31
9-Oct-00,0.0
10-Oct-00,31.31
11-Oct-00,31.33
12-Oct-00,31.3
13-Oct-00,31.6
16-Oct-00,32.05
17-Oct-00,32.3
18-Oct-00,32.5
19-Oct-00,32.35
20-Oct-00,32.15
23-Oct-00,32.1
24-Oct-00,32.05
25-Oct-00,32.05
26-Oct-00,32.19
27-Oct-00,32.26
30-Oct-00,32.35
31-Oct-00,32.35
1-Nov-00,32.36
2-Nov-00,32.25
3-Nov-00,32.15
6-Nov-00,32.15
7-Nov-00,32.15
8-Nov-00,32.13
9-Nov-00,32.1
10-Nov-00,32.07
13-Nov-00,32.17
14-Nov-00,32.18
15-Nov-00,32.15
16-Nov-00,32.24
17-Nov-00,32.31
20-Nov-00,32.48
21-Nov-00,32.5
22-Nov-00,32.9
23-Nov-00,0.0
24-Nov-00,32.9
27-Nov-00,32.9
28-Nov-00,32.85
29-Nov-00,33.08
30-Nov-00,33.08
1-Dec-00,33.05
4-Dec-00,33.05
5-Dec-00,33.05
6-Dec-00,33.05
7-Dec-00,33.08
8-Dec-00,33.06
11-Dec-00,33.1
12-Dec-00,33.06
13-Dec-00,33.16
14-Dec-00,33.1
15-Dec-00,33.1
18-Dec-00,33.1
19-Dec-00,33.1
20-Dec-00,33.18
21-Dec-00,33.2
22-Dec-00,33.2
25-Dec-00,0.0
26-Dec-00,33.2
27-Dec-00,33.25
28-Dec-00,33.2
29-Dec-00,33.17
1-Jan-01,0.0
2-Jan-01,33.0
3-Jan-01,33.078
4-Jan-01,33.0
5-Jan-01,32.927
8-Jan-01,32.85
9-Jan-01,32.63
10-Jan-01,32.65
11-Jan-01,32.67
12-Jan-01,32.67
15-Jan-01,0.0
16-Jan-01,32.645
17-Jan-01,32.67
18-Jan-01,32.67
19-Jan-01,32.61
22-Jan-01,32.59
23-Jan-01,32.6
24-Jan-01,32.6
25-Jan-01,32.575
26-Jan-01,32.575
29-Jan-01,32.545
30-Jan-01,32.23
31-Jan-01,32.35
1-Feb-01,32.39
2-Feb-01,32.3
5-Feb-01,32.33
6-Feb-01,32.27
7-Feb-01,32.27
8-Feb-01,32.27
9-Feb-01,32.27
12-Feb-01,32.29
13-Feb-01,32.35
14-Feb-01,32.32
15-Feb-01,32.31
16-Feb-01,32.32
19-Feb-01,0.0
20-Feb-01,32.3
21-Feb-01,32.3
22-Feb-01,32.38
23-Feb-01,32.4
26-Feb-01,32.4
27-Feb-01,32.4
28-Feb-01,32.4
1-Mar-01,32.38
2-Mar-01,32.4
5-Mar-01,32.4
6-Mar-01,32.4
7-Mar-01,32.42
8-Mar-01,32.42
9-Mar-01,32.45
12-Mar-01,32.48
13-Mar-01,32.57
14-Mar-01,32.53
15-Mar-01,32.61
16-Mar-01,32.73
19-Mar-01,32.8
20-Mar-01,32.785
21-Mar-01,32.82
22-Mar-01,32.92
23-Mar-01,32.85
26-Mar-01,32.72
27-Mar-01,32.67
28-Mar-01,32.67
29-Mar-01,32.8
30-Mar-01,32.85
2-Apr-01,32.97
3-Apr-01,32.89
4-Apr-01,33.0
