series_id,year,period,value,footnote_codes
,,,,
Wood product manufacturing,2003.0,M12,100.0,
,,,,
Wood product manufacturing,2004.0,M01,99.3,
,,,,
Wood product manufacturing,2004.0,M02,102.7,
,,,,
Wood product manufacturing,2004.0,M03,105.9,
,,,,
Wood product manufacturing,2004.0,M04,108.1,
,,,,
Wood product manufacturing,2004.0,M05,110.2,
,,,,
Wood product manufacturing,2004.0,M06,108.3,
,,,,
Wood product manufacturing,2004.0,M07,106.8,
,,,,
Wood product manufacturing,2004.0,M08,109.8,
,,,,
Wood product manufacturing,2004.0,M09,110.7,
,,,,
Wood product manufacturing,2004.0,M10,107.6,
,,,,
Wood product manufacturing,2004.0,M11,105.1,
,,,,
Wood product manufacturing,2004.0,M12,105.9,
,,,,
Wood product manufacturing,2004.0,M13,106.7,
,,,,
Wood product manufacturing,2005.0,M01,106.9,
,,,,
Wood product manufacturing,2005.0,M02,108.8,
,,,,
Wood product manufacturing,2005.0,M03,109.4,
,,,,
Wood product manufacturing,2005.0,M04,108.9,
,,,,
Wood product manufacturing,2005.0,M05,107.5,
,,,,
Wood product manufacturing,2005.0,M06,109.5,
,,,,
Wood product manufacturing,2005.0,M07,108.3,
,,,,
Wood product manufacturing,2005.0,M08,107.4,
,,,,
Wood product manufacturing,2005.0,M09,109.6,
,,,,
Wood product manufacturing,2005.0,M10,110.7,
,,,,
Wood product manufacturing,2005.0,M11,107.7,
,,,,
Wood product manufacturing,2005.0,M12,108.4,
,,,,
Wood product manufacturing,2005.0,M13,108.6,
,,,,
Wood product manufacturing,2006.0,M01,109.6,
,,,,
Wood product manufacturing,2006.0,M02,109.8,
,,,,
Wood product manufacturing,2006.0,M03,110.1,
,,,,
Wood product manufacturing,2006.0,M04,110.2,
,,,,
Wood product manufacturing,2006.0,M05,110.9,
,,,,
Wood product manufacturing,2006.0,M06,109.6,
,,,,
Wood product manufacturing,2006.0,M07,108.7,
,,,,
Wood product manufacturing,2006.0,M08,107.4,
,,,,
Wood product manufacturing,2006.0,M09,107.5,
,,,,
Wood product manufacturing,2006.0,M10,105.9,
,,,,
Wood product manufacturing,2006.0,M11,105.8,
,,,,
Wood product manufacturing,2006.0,M12,106.0,
,,,,
Wood product manufacturing,2006.0,M13,108.5,
,,,,
Wood product manufacturing,2007.0,M01,106.6,
,,,,
Wood product manufacturing,2007.0,M02,106.5,
,,,,
Wood product manufacturing,2007.0,M03,106.8,
,,,,
Wood product manufacturing,2007.0,M04,107.0,
,,,,
Wood product manufacturing,2007.0,M05,107.0,
,,,,
Wood product manufacturing,2007.0,M06,107.5,
,,,,
Wood product manufacturing,2007.0,M07,108.4,
,,,,
Wood product manufacturing,2007.0,M08,107.8,
,,,,
Wood product manufacturing,2007.0,M09,107.2,
,,,,
Wood product manufacturing,2007.0,M10,106.5,
,,,,
Wood product manufacturing,2007.0,M11,106.1,
,,,,
Wood product manufacturing,2007.0,M12,106.1,
,,,,
Wood product manufacturing,2007.0,M13,107.0,
,,,,
Wood product manufacturing,2008.0,M01,105.7,
,,,,
Wood product manufacturing,2008.0,M02,105.5,
,,,,
Wood product manufacturing,2008.0,M03,105.9,
,,,,
Wood product manufacturing,2008.0,M04,106.2,
,,,,
Wood product manufacturing,2008.0,M05,108.2,
,,,,
Wood product manufacturing,2008.0,M06,109.2,
,,,,
Wood product manufacturing,2008.0,M07,108.9,
,,,,
Wood product manufacturing,2008.0,M08,109.1,
,,,,
Wood product manufacturing,2008.0,M09,109.1,
,,,,
Wood product manufacturing,2008.0,M10,107.6,
,,,,
Wood product manufacturing,2008.0,M11,106.7,
,,,,
Wood product manufacturing,2008.0,M12,106.2,
,,,,
Wood product manufacturing,2008.0,M13,107.4,
,,,,
Wood product manufacturing,2009.0,M01,105.0,
,,,,
Wood product manufacturing,2009.0,M02,104.0,
,,,,
Wood product manufacturing,2009.0,M03,103.2,
,,,,
Wood product manufacturing,2009.0,M04,102.8,
,,,,
Wood product manufacturing,2009.0,M05,102.4,
,,,,
Wood product manufacturing,2009.0,M06,102.3,
,,,,
Wood product manufacturing,2009.0,M07,103.2,
,,,,
Wood product manufacturing,2009.0,M08,103.2,
,,,,
Wood product manufacturing,2009.0,M09,103.7,
,,,,
Wood product manufacturing,2009.0,M10,102.7,
,,,,
Wood product manufacturing,2009.0,M11,103.0,
,,,,
Wood product manufacturing,2009.0,M12,103.5,
,,,,
Wood product manufacturing,2009.0,M13,103.2,
,,,,
Wood product manufacturing,2010.0,M01,103.6,
,,,,
Wood product manufacturing,2010.0,M02,105.6,
,,,,
Wood product manufacturing,2010.0,M03,107.3,
,,,,
Wood product manufacturing,2010.0,M04,110.0,
,,,,
Wood product manufacturing,2010.0,M05,112.5,
,,,,
Wood product manufacturing,2010.0,M06,109.3,
,,,,
Wood product manufacturing,2010.0,M07,108.8,
,,,,
Wood product manufacturing,2010.0,M08,107.6,
,,,,
Wood product manufacturing,2010.0,M09,107.1,
,,,,
Wood product manufacturing,2010.0,M10,106.7,
,,,,
Wood product manufacturing,2010.0,M11,106.7,
,,,,
Wood product manufacturing,2010.0,M12,107.3,
,,,,
Wood product manufacturing,2010.0,M13,107.7,
,,,,
Wood product manufacturing,2011.0,M01,108.0,
,,,,
Wood product manufacturing,2011.0,M02,108.3,
,,,,
Wood product manufacturing,2011.0,M03,108.6,
,,,,
Wood product manufacturing,2011.0,M04,108.6,
,,,,
Wood product manufacturing,2011.0,M05,107.7,
,,,,
Wood product manufacturing,2011.0,M06,107.6,
,,,,
Wood product manufacturing,2011.0,M07,107.8,
,,,,
Wood product manufacturing,2011.0,M08,108.0,
,,,,
Wood product manufacturing,2011.0,M09,108.1,
,,,,
Wood product manufacturing,2011.0,M10,109.1,
,,,,
Wood product manufacturing,2011.0,M11,108.8,
,,,,
Wood product manufacturing,2011.0,M12,108.9,
,,,,
Wood product manufacturing,2011.0,M13,108.3,
,,,,
Wood product manufacturing,2012.0,M01,109.3,
,,,,
Wood product manufacturing,2012.0,M02,110.2,
,,,,
Wood product manufacturing,2012.0,M03,111.4,
,,,,
Wood product manufacturing,2012.0,M04,111.7,
,,,,
Wood product manufacturing,2012.0,M05,112.9,
,,,,
Wood product manufacturing,2012.0,M06,113.1,
,,,,
Wood product manufacturing,2012.0,M07,112.5,
,,,,
Wood product manufacturing,2012.0,M08,113.9,
,,,,
Wood product manufacturing,2012.0,M09,115.0,
,,,,
Wood product manufacturing,2012.0,M10,113.7,
,,,,
Wood product manufacturing,2012.0,M11,115.3,
,,,,
Wood product manufacturing,2012.0,M12,116.2,
,,,,
Wood product manufacturing,2012.0,M13,112.9,
,,,,
Wood product manufacturing,2013.0,M01,118.7,
,,,,
Wood product manufacturing,2013.0,M02,120.4,
,,,,
Wood product manufacturing,2013.0,M03,122.3,
,,,,
Wood product manufacturing,2013.0,M04,123.4,
,,,,
Wood product manufacturing,2013.0,M05,121.6,
,,,,
Wood product manufacturing,2013.0,M06,120.1,
,,,,
Wood product manufacturing,2013.0,M07,119.0,
,,,,
Wood product manufacturing,2013.0,M08,119.9,
,,,,
Wood product manufacturing,2013.0,M09,120.1,
,,,,
Wood product manufacturing,2013.0,M10,121.0,
,,,,
Wood product manufacturing,2013.0,M11,121.6,
,,,,
Wood product manufacturing,2013.0,M12,121.8,
,,,,
Wood product manufacturing,2013.0,M13,120.8,
,,,,
Wood product manufacturing,2014.0,M01,123.0,
,,,,
Wood product manufacturing,2014.0,M02,124.1,
,,,,
Wood product manufacturing,2014.0,M03,124.9,
,,,,
Wood product manufacturing,2014.0,M04,124.8,
,,,,
Wood product manufacturing,2014.0,M05,125.6,
,,,,
Wood product manufacturing,2014.0,M06,125.6,
,,,,
Wood product manufacturing,2014.0,M07,125.9,
,,,,
Wood product manufacturing,2014.0,M08,126.5,
,,,,
Wood product manufacturing,2014.0,M09,126.8,
,,,,
Wood product manufacturing,2014.0,M10,126.4,
,,,,
Wood product manufacturing,2014.0,M11,126.1,
,,,,
Wood product manufacturing,2014.0,M12,125.8,
,,,,
Wood product manufacturing,2014.0,M13,125.5,
,,,,
Wood product manufacturing,2015.0,M01,126.0,
,,,,
Wood product manufacturing,2015.0,M02,125.7,
,,,,
Wood product manufacturing,2015.0,M03,125.3,
,,,,
Wood product manufacturing,2015.0,M04,125.3,
,,,,
Wood product manufacturing,2015.0,M05,124.4,
,,,,
Wood product manufacturing,2015.0,M06,124.3,
,,,,
Wood product manufacturing,2015.0,M07,124.3,
,,,,
Wood product manufacturing,2015.0,M08,123.6,
,,,,
Wood product manufacturing,2015.0,M09,123.0,
,,,,
Wood product manufacturing,2015.0,M10,123.5,
,,,,
Wood product manufacturing,2015.0,M11,124.3,
,,,,
Wood product manufacturing,2015.0,M12,123.8,
,,,,
Wood product manufacturing,2015.0,M13,124.5,
,,,,
